head	tail	relations
MESH:D014280	NCBI:2180	PRODUCT-OF
MESH:D014280	NCBI:2182	PRODUCT-OF
MESH:D000214	NCBI:2180	PRODUCT-OF
MESH:D000214	NCBI:2182	PRODUCT-OF
MESH:D005033	NCBI:2182	INHIBITOR
MESH:D013395	NCBI:2180	INDIRECT-UPREGULATOR
MESH:D013395	NCBI:2182	INDIRECT-UPREGULATOR
MESH:C042743	NCBI:43	
MESH:C034816	NCBI:43	
MESH:D000549	NCBI:43	INHIBITOR
MESH:D011729	NCBI:43	INHIBITOR
MESH:C048835	NCBI:43	INHIBITOR
MESH:D010278	NCBI:43	INHIBITOR
MESH:C007884	NCBI:43	INHIBITOR
MESH:C039552	NCBI:148	PART-OF
MESH:C026650	NCBI:148	PART-OF
MESH:D011732	NCBI:5833	ACTIVATOR
MESH:D025101	NCBI:5833	
MESH:C068471	NCBI:5833	ACTIVATOR
MESH:D000409	NCBI:5833	
MESH:C000629498	NCBI:5833	
MESH:D004220	NCBI:2160	
MESH:C047902	NCBI:2160	
MESH:C584276	NCBI:2160	
MESH:C584276	NCBI:2158	
MESH:D007616	NCBI:2160	
MESH:D010743	NCBI:2160	
MESH:D007531	NCBI:43	INHIBITOR
MESH:D005576	NCBI:43	
MESH:C018832	NCBI:43	
MESH:D000242	NCBI:43	
MESH:C431510	NCBI:3359	DIRECT-REGULATOR|ANTAGONIST
MESH:D004298	NCBI:3359	
MESH:D012701	NCBI:3359	
MESH:C072131	NCBI:3359	AGONIST
MESH:D017829	NCBI:3359	ANTAGONIST
MESH:D017294	NCBI:3359	ANTAGONIST
MESH:D008787	NCBI:3359	ANTAGONIST
MESH:C431510	NCBI:1814	INHIBITOR
MESH:D004298	NCBI:1814	
MESH:C031349	NCBI:1814	AGONIST
MESH:D004294	NCBI:1814	DIRECT-REGULATOR
MESH:D006220	NCBI:1814	DIRECT-REGULATOR
MESH:C024575	NCBI:2159	PART-OF
MESH:C076685	NCBI:2159	PART-OF
MESH:C437397	NCBI:2159	
MESH:C076685	NCBI:2153	
MESH:C076685	NCBI:2147	
MESH:C024575	NCBI:2153	
MESH:C024575	NCBI:2147	
MESH:D014812	NCBI:632	INDIRECT-UPREGULATOR
MESH:D014812	NCBI:4256	INDIRECT-UPREGULATOR
MESH:D002118	NCBI:632	DIRECT-REGULATOR
MESH:D002118	NCBI:4256	DIRECT-REGULATOR
MESH:D008911	NCBI:834	INDIRECT-DOWNREGULATOR|INHIBITOR
MESH:D013752	NCBI:834	INDIRECT-DOWNREGULATOR
MESH:D008911	NCBI:3553	INDIRECT-DOWNREGULATOR
MESH:D010091	NCBI:590	INDIRECT-DOWNREGULATOR|ACTIVATOR
MESH:D010755	NCBI:590	INHIBITOR
MESH:C028797	NCBI:590	ACTIVATOR
MESH:D000077261	NCBI:133	INDIRECT-DOWNREGULATOR
MESH:D000077261	NCBI:4880	
MESH:C437397	NCBI:133	PART-OF
MESH:C437397	NCBI:4880	
MESH:C437397	NCBI:4879	
MESH:D000077261	NCBI:4879	INDIRECT-DOWNREGULATOR
MESH:D000596	NCBI:4879	
MESH:D000596	NCBI:133	
MESH:D000596	NCBI:4880	
MESH:C404526	NCBI:2893	DIRECT-REGULATOR
MESH:D018350	NCBI:2893	
MESH:C082810	NCBI:2893	
MESH:D001710	NCBI:7837	INDIRECT-UPREGULATOR
MESH:D001710	NCBI:2260	
MESH:D001710	NCBI:2261	
MESH:D001710	NCBI:2246	
MESH:D001710	NCBI:2255	
MESH:C047207	NCBI:3777	INHIBITOR
MESH:C047207	NCBI:9376	INHIBITOR
MESH:D015377	NCBI:3777	INHIBITOR
MESH:D015377	NCBI:9376	INHIBITOR
MESH:C073525	NCBI:3777	INHIBITOR
MESH:C073525	NCBI:9376	INHIBITOR
MESH:C011549	NCBI:3777	INHIBITOR
MESH:C011549	NCBI:9376	INHIBITOR
MESH:D011339	NCBI:3777	INHIBITOR
MESH:D005280	NCBI:1129	
MESH:D005280	NCBI:154	AGONIST
MESH:C018832	NCBI:154	
MESH:D005703	NCBI:1129	ANTAGONIST
MESH:D007545	NCBI:1129	
MESH:D016210	NCBI:1129	
MESH:D005576	NCBI:1129	
MESH:C018832	NCBI:1129	
MESH:D016210	NCBI:154	
MESH:D000086	NCBI:759	INHIBITOR
MESH:D000086	NCBI:760	INHIBITOR
MESH:C406662	NCBI:3359	
MESH:C406662	NCBI:3361	AGONIST
MESH:C406662	NCBI:3356	
MESH:C406662	NCBI:3357	
MESH:D000109	NCBI:3356	
MESH:D000109	NCBI:3357	
MESH:D000109	NCBI:3359	
MESH:D019808	NCBI:183	
MESH:D000077333	NCBI:183	
MESH:D019808	NCBI:285	
MESH:D000077333	NCBI:285	
MESH:D000804	NCBI:285	
MESH:D009638	NCBI:285	
MESH:D000077300	NCBI:1906	
MESH:D000077300	NCBI:1909	INDIRECT-DOWNREGULATOR|ANTAGONIST
MESH:D000077300	NCBI:1910	INDIRECT-DOWNREGULATOR|ANTAGONIST
MESH:D000077300	NCBI:1636	
MESH:D000077300	NCBI:196	
MESH:D000068557	NCBI:185	ANTAGONIST
MESH:D000068557	NCBI:183	ANTAGONIST
MESH:C437965	NCBI:57085	ANTAGONIST
MESH:C437965	NCBI:186	
MESH:C437965	NCBI:4297	INHIBITOR
MESH:D000068557	NCBI:4297	INDIRECT-DOWNREGULATOR
MESH:C102046	NCBI:5742	
MESH:C102046	NCBI:5743	
MESH:D011188	NCBI:3479	
MESH:D008274	NCBI:3479	
MESH:D013148	NCBI:3479	
MESH:D007213	NCBI:3479	
MESH:D002784	NCBI:3156	PRODUCT-OF
MESH:C004808	NCBI:3156	PRODUCT-OF
MESH:C054837	NCBI:3156	PRODUCT-OF
MESH:C002963	NCBI:3156	PRODUCT-OF
MESH:C408642	NCBI:3156	PRODUCT-OF
MESH:C086276	NCBI:387	INHIBITOR
MESH:C086276	NCBI:5055	INDIRECT-DOWNREGULATOR
MESH:C086276	NCBI:4318	INDIRECT-DOWNREGULATOR
MESH:D000068438	NCBI:150	
MESH:C072125	NCBI:279	ANTAGONIST
MESH:C072125	NCBI:151	ANTAGONIST
MESH:C072125	NCBI:152	
MESH:C578078	NCBI:279	
MESH:C578078	NCBI:151	ANTAGONIST
MESH:C578078	NCBI:152	ANTAGONIST
MESH:D011224	NCBI:279	
MESH:D011224	NCBI:151	ANTAGONIST
MESH:D011224	NCBI:152	ANTAGONIST
MESH:C072125	NCBI:150	DIRECT-REGULATOR|ANTAGONIST
MESH:C032994	NCBI:150	ANTAGONIST
MESH:D011224	NCBI:150	ANTAGONIST
MESH:C000606701	NCBI:2752	PART-OF
MESH:D018690	NCBI:2752	SUBSTRATE
MESH:C000606701	NCBI:2571	PART-OF
MESH:D020106	NCBI:2571	
MESH:C032333	NCBI:2571	
MESH:C055551	NCBI:2571	
MESH:D018690	NCBI:2571	SUBSTRATE
MESH:C032333	NCBI:23493	
MESH:C032333	NCBI:347	
MESH:C055551	NCBI:23493	
MESH:C055551	NCBI:347	
MESH:C000606701	NCBI:23493	PART-OF
MESH:C000606701	NCBI:347	PART-OF
MESH:D011732	NCBI:2571	DIRECT-REGULATOR
MESH:D011732	NCBI:23493	DIRECT-REGULATOR
MESH:D019791	NCBI:2571	
MESH:C022982	NCBI:2571	
MESH:C022982	NCBI:23493	
MESH:C022982	NCBI:347	
MESH:D009642	NCBI:3358	AGONIST|ACTIVATOR
MESH:C107820	NCBI:3358	ANTAGONIST
MESH:D007650	NCBI:3357	
MESH:D007650	NCBI:3356	ANTAGONIST
MESH:D005277	NCBI:3357	AGONIST|ACTIVATOR
MESH:D005277	NCBI:3356	AGONIST
MESH:D009642	NCBI:3357	AGONIST|ACTIVATOR
MESH:D009642	NCBI:3356	AGONIST|ACTIVATOR
MESH:C118948	NCBI:3357	ANTAGONIST
MESH:C118948	NCBI:3356	
MESH:C121466	NCBI:3357	ANTAGONIST
MESH:C121466	NCBI:3356	
MESH:C079049	NCBI:3357	
MESH:C090701	NCBI:3351	ANTAGONIST
MESH:D005277	NCBI:3350	AGONIST
MESH:D005277	NCBI:3351	AGONIST
MESH:D002784	NCBI:338	
MESH:D014280	NCBI:338	
MESH:D012964	NCBI:6530	
MESH:D002395	NCBI:6530	DIRECT-REGULATOR|SUBSTRATE
MESH:D002713	NCBI:6530	
MESH:D009638	NCBI:6531	
MESH:D004298	NCBI:6530	
MESH:C488396	NCBI:1621	
MESH:D010433	NCBI:1621	
MESH:C041747	NCBI:1621	
MESH:C041747	NCBI:2561	
MESH:C041747	NCBI:5915	
MESH:C488396	NCBI:2561	
MESH:C047902	NCBI:6446	
MESH:C047902	NCBI:1080	
MESH:D008715	NCBI:6446	
MESH:D008715	NCBI:1080	
MESH:D012964	NCBI:6446	
MESH:D012964	NCBI:1080	
MESH:D000450	NCBI:7040	
MESH:D000450	NCBI:6446	ACTIVATOR
MESH:D000255	NCBI:6446	
MESH:D000584	NCBI:6446	
MESH:D014223	NCBI:6446	
MESH:C066304	NCBI:6309	INHIBITOR
MESH:D010868	NCBI:6309	INHIBITOR
MESH:D011188	NCBI:6309	
MESH:D011188	NCBI:3757	
MESH:C066304	NCBI:3757	INHIBITOR
MESH:D010868	NCBI:3757	INHIBITOR
MESH:C115647	NCBI:3350	
MESH:C089750	NCBI:3350	
MESH:D018170	NCBI:3350	
MESH:C006031	NCBI:3992	
MESH:D047348	NCBI:6713	INHIBITOR
MESH:C060685	NCBI:6713	INHIBITOR
MESH:D013185	NCBI:6713	
MESH:C003705	NCBI:6713	
MESH:D002784	NCBI:6713	PRODUCT-OF
MESH:C475338	NCBI:6713	
MESH:C042696	NCBI:1956	PART-OF
MESH:D008238	NCBI:3356	AGONIST-ACTIVATOR|ACTIVATOR
MESH:D008238	NCBI:6532	
MESH:D004967	NCBI:3356	
MESH:D004967	NCBI:6532	
MESH:D011372|D011374	NCBI:3356	
MESH:D011372|D011374	NCBI:6532	
MESH:D017374	NCBI:3356	
MESH:D012964	NCBI:177	
MESH:C437397	NCBI:6358	PART-OF
MESH:C437397	NCBI:1230	
MESH:C437397	NCBI:1234	
MESH:C437397	NCBI:1232	
MESH:D008982	NCBI:9546	SUBSTRATE
MESH:D008982	NCBI:55034	SUBSTRATE
MESH:D000079	NCBI:9546	
MESH:D000079	NCBI:55034	
MESH:D019820	NCBI:9546	
MESH:D019820	NCBI:55034	
MESH:C437397	NCBI:9546	PART-OF
MESH:C055551	NCBI:9546	PART-OF
MESH:D011732	NCBI:9546	DIRECT-REGULATOR
MESH:C051552	NCBI:9546	DIRECT-REGULATOR
MESH:D003545	NCBI:9054	SUBSTRATE|PART-OF
MESH:D013438	NCBI:9546	
MESH:D004967	NCBI:1956	
MESH:D000077156	NCBI:1956	INHIBITOR
MESH:C055273	NCBI:191	SUBSTRATE
MESH:C055273	NCBI:4824	SUBSTRATE
MESH:C027965	NCBI:191	SUBSTRATE
MESH:C027965	NCBI:4824	SUBSTRATE
MESH:C405243	NCBI:1491	
MESH:C405243	NCBI:2035	
MESH:D011732	NCBI:1491	
MESH:D011732	NCBI:2035	
MESH:C068471	NCBI:1491	
MESH:C068471	NCBI:2035	
MESH:D008715	NCBI:1491	
MESH:D008715	NCBI:2035	
MESH:C055273	NCBI:1491	SUBSTRATE
MESH:C055273	NCBI:2035	SUBSTRATE
MESH:D003540	NCBI:2035	
MESH:C027965	NCBI:1491	PRODUCT-OF
MESH:C027965	NCBI:2035	PRODUCT-OF
MESH:D012460	NCBI:23657	INHIBITOR
MESH:D003553	NCBI:23657	SUBSTRATE
MESH:D003553	NCBI:425054	SUBSTRATE
MESH:D013427	NCBI:425054	INHIBITOR
MESH:D019804	NCBI:425054	INHIBITOR
MESH:C407583	NCBI:23657	SUBSTRATE
MESH:C025589	NCBI:9356	
MESH:C472757	NCBI:9356	SUBSTRATE
MESH:C472757	NCBI:9376	SUBSTRATE
MESH:C101067	NCBI:9356	SUBSTRATE
MESH:C101067	NCBI:9376	SUBSTRATE
MESH:D010130	NCBI:9356	INHIBITOR
MESH:C060424	NCBI:9356	INHIBITOR
MESH:C060424	NCBI:9376	INHIBITOR
MESH:D011339	NCBI:9356	INHIBITOR
MESH:D010894	NCBI:9356	INHIBITOR
MESH:C031492	NCBI:9356	INHIBITOR
MESH:C031492	NCBI:9376	INHIBITOR
MESH:D002953	NCBI:9356	INHIBITOR
MESH:D002953	NCBI:9376	INHIBITOR
MESH:C057446	NCBI:146	ANTAGONIST
MESH:C010654	NCBI:146	ANTAGONIST
MESH:D011224	NCBI:146	DIRECT-REGULATOR|ANTAGONIST
MESH:D001241	NCBI:3309	DIRECT-REGULATOR
MESH:D012459	NCBI:3309	DIRECT-REGULATOR
MESH:C026535	NCBI:3309	DIRECT-REGULATOR
MESH:D000255	NCBI:3309	
MESH:C052456	NCBI:4846	DIRECT-REGULATOR
MESH:D018690	NCBI:4846	PART-OF
MESH:C029658	NCBI:4846	PART-OF
MESH:C063533	NCBI:3757	DIRECT-REGULATOR|INHIBITOR
MESH:D004986	NCBI:23416	
MESH:D011188	NCBI:23416	
MESH:C063533	NCBI:23416	
MESH:D000244	NCBI:1938	
MESH:D013453	NCBI:3630	INDIRECT-UPREGULATOR
MESH:C087255	NCBI:3630	INDIRECT-UPREGULATOR
MESH:D000077715	NCBI:3630	INDIRECT-UPREGULATOR
MESH:D000255	NCBI:3630	
MESH:D011188	NCBI:3630	
MESH:C087255	NCBI:3767	INHIBITOR
MESH:C087255	NCBI:6833	DIRECT-REGULATOR|INHIBITOR
MESH:C087255	NCBI:10060	
MESH:C087255	NCBI:81697	
MESH:D011188	NCBI:3767	
MESH:D011188	NCBI:6833	
MESH:D011188	NCBI:10060	
MESH:D011188	NCBI:81697	
MESH:D000255	NCBI:3767	
MESH:D000255	NCBI:6833	DIRECT-REGULATOR|INHIBITOR
MESH:D000255	NCBI:10060	
MESH:D000255	NCBI:81697	
MESH:C030516	NCBI:3767	
MESH:C030516	NCBI:6833	
MESH:C030516	NCBI:10060	
MESH:C030516	NCBI:81697	
MESH:D000077715	NCBI:3767	INHIBITOR
MESH:D000077715	NCBI:6833	DIRECT-REGULATOR|INHIBITOR
MESH:D000077715	NCBI:10060	INHIBITOR
MESH:D000077715	NCBI:81697	INHIBITOR
MESH:D005905	NCBI:6833	DIRECT-REGULATOR|INHIBITOR
MESH:C072379	NCBI:6833	DIRECT-REGULATOR
MESH:D013453	NCBI:3767	
MESH:D013453	NCBI:6833	
MESH:D011188	NCBI:3756	
MESH:C063533	NCBI:3756	DIRECT-REGULATOR|INHIBITOR
MESH:D004986	NCBI:3756	
MESH:D004986	NCBI:3757	
MESH:D004986	NCBI:3745	
MESH:D004986	NCBI:3759	
MESH:C032898	NCBI:3757	DIRECT-REGULATOR|INHIBITOR
MESH:C032898	NCBI:3759	INHIBITOR
MESH:C063533	NCBI:3759	INHIBITOR
MESH:D002186	NCBI:25927	
MESH:D009638	NCBI:25927	
MESH:C070417	NCBI:25927	ACTIVATOR
MESH:D000077285	NCBI:25927	ANTAGONIST
MESH:D009638	NCBI:151	
MESH:C055551	NCBI:25927	PART-OF
MESH:C055551	NCBI:4852	
MESH:D002186	NCBI:4852	
MESH:D004837	NCBI:154	ACTIVATOR
MESH:D002186	NCBI:154	
MESH:C089946	NCBI:3630	
MESH:D002744	NCBI:3269	DIRECT-REGULATOR|ANTAGONIST
MESH:C545830	NCBI:3269	DIRECT-REGULATOR|ANTAGONIST
MESH:D004316	NCBI:3269	DIRECT-REGULATOR
MESH:C058249	NCBI:3269	DIRECT-REGULATOR|ANTAGONIST
MESH:D012271	NCBI:5034	DIRECT-REGULATOR|INHIBITOR
MESH:D004220	NCBI:5034	
MESH:C437397	NCBI:5034	
MESH:D000596	NCBI:5034	
MESH:D009705	NCBI:1719	
MESH:D016597	NCBI:1719	
MESH:C036539	NCBI:1719	
MESH:C001789	NCBI:1719	
MESH:C028318	NCBI:1719	
MESH:D015735	NCBI:2099	INDIRECT-DOWNREGULATOR
MESH:D010894	NCBI:5443	INDIRECT-DOWNREGULATOR
MESH:C080955	NCBI:5443	INDIRECT-DOWNREGULATOR
MESH:D010656	NCBI:5443	INDIRECT-UPREGULATOR
MESH:D003000	NCBI:5443	INDIRECT-UPREGULATOR
MESH:D007545	NCBI:5443	
MESH:D002976	NCBI:5443	INDIRECT-UPREGULATOR
MESH:D011374	NCBI:367	ANTAGONIST
MESH:C030703	NCBI:367	
MESH:C029167	NCBI:367	
MESH:C038501	NCBI:367	
MESH:C050319	NCBI:367	
MESH:C035144	NCBI:4306	DIRECT-REGULATOR
MESH:D013148	NCBI:4306	DIRECT-REGULATOR
MESH:D004656	NCBI:183	
MESH:D004656	NCBI:5972	
MESH:C446481	NCBI:183	INDIRECT-DOWNREGULATOR
MESH:C446481	NCBI:5972	ACTIVATOR|INHIBITOR
MESH:C449753	NCBI:5972	INHIBITOR
MESH:D012964	NCBI:5972	
MESH:C558552	NCBI:5972	
MESH:C558552	NCBI:283	
MESH:C558552	NCBI:285	
MESH:C000605451	NCBI:283	
MESH:C446481	NCBI:283	INDIRECT-DOWNREGULATOR
MESH:C446481	NCBI:285	INDIRECT-DOWNREGULATOR
MESH:C446481	NCBI:1636	INHIBITOR
MESH:C000605451	NCBI:1636	
MESH:D003981	NCBI:6833	ACTIVATOR
MESH:D003981	NCBI:3767	ACTIVATOR
MESH:D009538	NCBI:5742	
MESH:D010100	NCBI:5742	
MESH:D010100	NCBI:847	
MESH:C057769	NCBI:5742	INHIBITOR
MESH:C057769	NCBI:5743	
MESH:D009538	NCBI:5743	
MESH:C012655	NCBI:5742	
MESH:C075361	NCBI:5742	
MESH:C075361	NCBI:5743	INHIBITOR
MESH:C037866	NCBI:6916	
MESH:C034364	NCBI:6916	INHIBITOR
MESH:C037866	NCBI:6915	
MESH:C056566	NCBI:6915	ANTAGONIST
MESH:C000590392	NCBI:5742	
MESH:D012964	NCBI:6336	
MESH:D012964	NCBI:11280	
MESH:D011342	NCBI:6331	
MESH:D016572	NCBI:3558	INHIBITOR
MESH:D000077300	NCBI:11189	ANTAGONIST
MESH:C092972	NCBI:5737	
MESH:C092972	NCBI:1906	
MESH:C092972	NCBI:1909	
MESH:C092972	NCBI:1910	
MESH:C042696	NCBI:5737	
MESH:C042696	NCBI:1906	
MESH:C042696	NCBI:1909	
MESH:C042696	NCBI:1910	
MESH:C066657	NCBI:4724	
MESH:C025707	NCBI:2902	INHIBITOR
MESH:C025707	NCBI:2903	
MESH:C025707	NCBI:2904	
MESH:C025707	NCBI:2905	INHIBITOR
MESH:C025707	NCBI:2906	INHIBITOR
MESH:C012019	NCBI:2906	
MESH:D018690	NCBI:2903	
MESH:D018690	NCBI:2905	
MESH:D018690	NCBI:2906	
MESH:D005998	NCBI:2906	
MESH:C571988	NCBI:2902	INHIBITOR
MESH:C571988	NCBI:2903	INHIBITOR
MESH:C571988	NCBI:2904	INHIBITOR
MESH:C571988	NCBI:2905	INHIBITOR
MESH:C571988	NCBI:2906	INHIBITOR
MESH:D013629	NCBI:2099	INDIRECT-UPREGULATOR
MESH:D013629	NCBI:672	
MESH:D013629	NCBI:675	
MESH:D014147	NCBI:6530	INHIBITOR
MESH:D003891	NCBI:6530	DIRECT-REGULATOR|INDIRECT-DOWNREGULATOR|INHIBITOR
MESH:C032869	NCBI:6530	SUBSTRATE
MESH:C009680	NCBI:43	INHIBITOR
MESH:C009680	NCBI:6080	INHIBITOR
MESH:C000610578	NCBI:43	INHIBITOR
MESH:C000610578	NCBI:6080	INHIBITOR
MESH:D005703	NCBI:43	INHIBITOR
MESH:D005703	NCBI:6080	
MESH:D014403	NCBI:43	INHIBITOR
MESH:D014403	NCBI:6080	
MESH:D011419	NCBI:43	INHIBITOR
MESH:D011419	NCBI:6080	
MESH:D001285	NCBI:43	ACTIVATOR|INHIBITOR
MESH:D001285	NCBI:6080	
MESH:C030123	NCBI:43	INHIBITOR
MESH:C030123	NCBI:6080	
MESH:D010261	NCBI:43	INDIRECT-UPREGULATOR|ACTIVATOR|INHIBITOR
MESH:D010261	NCBI:6080	INHIBITOR
MESH:C007902	NCBI:43	INHIBITOR
MESH:C007902	NCBI:6080	INHIBITOR
MESH:D004006	NCBI:43	INHIBITOR
MESH:D004006	NCBI:6080	INHIBITOR
MESH:D000077267	NCBI:2099	DIRECT-REGULATOR|INHIBITOR|ANTAGONIST
MESH:C051781	NCBI:2099	INHIBITOR
MESH:C106945	NCBI:2099	
MESH:C012121	NCBI:2099	DIRECT-REGULATOR
MESH:D008898	NCBI:6347	INDIRECT-DOWNREGULATOR
MESH:D008898	NCBI:2920	INDIRECT-DOWNREGULATOR
MESH:D002444	NCBI:29989	
MESH:D000676	NCBI:7124	INDIRECT-UPREGULATOR|INDIRECT-DOWNREGULATOR|INHIBITOR
MESH:D020105	NCBI:7124	INDIRECT-DOWNREGULATOR
MESH:D013806	NCBI:5138	
MESH:D013806	NCBI:8654	
MESH:C013983	NCBI:5138	
MESH:C013983	NCBI:8654	
MESH:C011145	NCBI:5138	
MESH:C011145	NCBI:8654	INHIBITOR
MESH:C091517	NCBI:5138	
MESH:C091517	NCBI:8654	INHIBITOR
MESH:D001507	NCBI:7124	INDIRECT-DOWNREGULATOR
MESH:D003907	NCBI:7124	INDIRECT-DOWNREGULATOR|INHIBITOR
MESH:D000068298	NCBI:7124	INDIRECT-DOWNREGULATOR
MESH:D000676	NCBI:1437	INDIRECT-DOWNREGULATOR
MESH:D020105	NCBI:1437	INDIRECT-DOWNREGULATOR
MESH:D000409	NCBI:4843	INDIRECT-UPREGULATOR|SUBSTRATE
MESH:C002939	NCBI:4843	PRODUCT-OF
MESH:C095580	NCBI:4843	
MESH:C000624599	NCBI:4843	
MESH:C024575	NCBI:4843	INHIBITOR
MESH:D011073	NCBI:4953	PRODUCT-OF
MESH:C065734	NCBI:9177	DIRECT-REGULATOR|AGONIST|ACTIVATOR
MESH:D005947	NCBI:9177	
MESH:D014805	NCBI:4524	
MESH:D005492	NCBI:4524	SUBSTRATE
MESH:C013123	NCBI:4522	
MESH:C013123	NCBI:4524	
MESH:C055551	NCBI:4522	PART-OF
MESH:C055551	NCBI:4524	PART-OF
MESH:D043343	NCBI:4522	PART-OF
MESH:D043343	NCBI:4524	PART-OF
MESH:D009711	NCBI:4522	PART-OF
MESH:D009711	NCBI:4524	PART-OF
MESH:D006710	NCBI:4522	
MESH:C062732	NCBI:4522	
MESH:C062732	NCBI:4524	SUBSTRATE
MESH:D013004	NCBI:6750	
MESH:D000409	NCBI:3172	PART-OF
MESH:C047132	NCBI:3172	
MESH:C000531	NCBI:3172	
MESH:D000596	NCBI:3172	
MESH:C517782	NCBI:3172	
MESH:C517782	NCBI:2691	INHIBITOR
MESH:C517782	NCBI:2688	INDIRECT-DOWNREGULATOR|INHIBITOR
MESH:C517782	NCBI:3479	INDIRECT-DOWNREGULATOR|INHIBITOR
MESH:D015282	NCBI:3479	
MESH:C517782	NCBI:2641	INDIRECT-DOWNREGULATOR
MESH:D005947	NCBI:2641	INDIRECT-DOWNREGULATOR
MESH:D007736	NCBI:8942	
MESH:D007736	NCBI:102557615	
MESH:D008911	NCBI:54205	INDIRECT-DOWNREGULATOR
MESH:D009569	NCBI:834	
MESH:D009569	NCBI:836	
MESH:D000809	NCBI:1889	
MESH:D020909	NCBI:3630	
MESH:D005907	NCBI:3630	
MESH:D008687	NCBI:3630	
MESH:D015237	NCBI:10864	SUBSTRATE
MESH:D011339	NCBI:10864	INHIBITOR
MESH:C073525	NCBI:10864	
MESH:C047207	NCBI:10864	
MESH:D015377	NCBI:10864	
MESH:D011339	NCBI:114571	DIRECT-REGULATOR|INHIBITOR
MESH:C073525	NCBI:114571	INHIBITOR
MESH:C047207	NCBI:114571	INHIBITOR
MESH:D015377	NCBI:114571	
MESH:C026695	NCBI:186	
MESH:C026695	NCBI:472	
MESH:C530561	NCBI:186	
MESH:C530561	NCBI:472	
MESH:C525167	NCBI:186	
MESH:C525167	NCBI:472	
MESH:D000068756	NCBI:186	INHIBITOR
MESH:D019808	NCBI:186	INHIBITOR
MESH:D000804	NCBI:186	
MESH:D012964	NCBI:186	
MESH:C525167	NCBI:183	
MESH:D000068756	NCBI:183	
MESH:C530561	NCBI:183	
MESH:C026695	NCBI:183	
MESH:D015735	NCBI:1800	
MESH:D013792	NCBI:7124	INDIRECT-DOWNREGULATOR|INHIBITOR
MESH:C115461	NCBI:5742	INHIBITOR
MESH:C115461	NCBI:5743	
MESH:D015232	NCBI:5742	PRODUCT-OF
MESH:D000068180	NCBI:3350	DIRECT-REGULATOR|AGONIST
MESH:D000068180	NCBI:1813	AGONIST
MESH:D016244	NCBI:1813	
MESH:D016244	NCBI:3350	DIRECT-REGULATOR
MESH:C025589	NCBI:55867	SUBSTRATE
MESH:C472757	NCBI:55867	
MESH:C472757	NCBI:114571	SUBSTRATE
MESH:D010894	NCBI:114571	DIRECT-REGULATOR
MESH:C031492	NCBI:114571	DIRECT-REGULATOR
MESH:D002953	NCBI:114571	DIRECT-REGULATOR
MESH:C097240	NCBI:5468	DIRECT-REGULATOR
MESH:D005680	NCBI:51499	PRODUCT-OF
MESH:C094686	NCBI:51499	
MESH:D018690	NCBI:51499	SUBSTRATE
MESH:D000596	NCBI:2571	PART-OF
MESH:D000596	NCBI:2572	PART-OF
MESH:D000068581	NCBI:56261	INHIBITOR
MESH:D013629	NCBI:1588	INHIBITOR
MESH:D019290	NCBI:1588	
MESH:D000077384	NCBI:1588	INHIBITOR
MESH:D003975	NCBI:1622	
MESH:D003975	NCBI:468	
MESH:D003975	NCBI:387	
MESH:D000214	NCBI:1622	
MESH:D000214	NCBI:468	
MESH:D000214	NCBI:387	
MESH:C408642	NCBI:387	
MESH:D008148	NCBI:387	
MESH:C023808	NCBI:6579	INHIBITOR
MESH:C023808	NCBI:10599	INHIBITOR
MESH:D012293	NCBI:6579	INHIBITOR
MESH:D012293	NCBI:10599	SUBSTRATE|INHIBITOR
MESH:C023808	NCBI:10057	INHIBITOR
MESH:C023808	NCBI:28234	INHIBITOR
MESH:C023808	NCBI:11309	INHIBITOR
MESH:D012293	NCBI:28234	SUBSTRATE|INHIBITOR
MESH:D012293	NCBI:11309	INHIBITOR
MESH:C582384	NCBI:28234	SUBSTRATE
MESH:C582384	NCBI:10599	SUBSTRATE
MESH:C582384	NCBI:11309	SUBSTRATE
MESH:C582384	NCBI:6579	SUBSTRATE
MESH:D004298	NCBI:5743	
MESH:D002122	NCBI:1813	
MESH:D002122	NCBI:5743	
MESH:D002122	NCBI:1734	
MESH:D015232	NCBI:1813	
MESH:D015232	NCBI:1734	
MESH:D016718	NCBI:1813	
MESH:C045989	NCBI:1734	ANTAGONIST
MESH:D011796	NCBI:7534	INHIBITOR
MESH:D011796	NCBI:5321	
MESH:D011796	NCBI:8398	
MESH:D004298	NCBI:5321	
MESH:D015777	NCBI:1813	
MESH:D015777	NCBI:5321	
MESH:D015777	NCBI:5743	
MESH:C086167	NCBI:183	ANTAGONIST
MESH:C058819	NCBI:7422	INDIRECT-DOWNREGULATOR
MESH:D005907	NCBI:7422	INDIRECT-DOWNREGULATOR
MESH:D000111	NCBI:7422	INDIRECT-DOWNREGULATOR
MESH:D014810	NCBI:7422	INDIRECT-DOWNREGULATOR
MESH:D005905	NCBI:7422	
MESH:C488396	NCBI:7054	
MESH:D004298	NCBI:7054	
MESH:D018491|D004298	NCBI:7054	
MESH:D003891	NCBI:1621	
MESH:D011073	NCBI:6303	SUBSTRATE
MESH:D011073	NCBI:196743	
MESH:D011073	NCBI:54498	
MESH:D013095	NCBI:6303	SUBSTRATE
MESH:D013095	NCBI:196743	PRODUCT-OF
MESH:D013095	NCBI:54498	PRODUCT-OF
MESH:D011700	NCBI:6303	
MESH:D011700	NCBI:196743	PRODUCT-OF
